config,mean_time,mean_num_utterances,mean_utterances_per_turn,time,num_utterances,utterances_per_turn
staircase,3.2531158447252966,13.666666666666666,2.2296296296296294,2.84252966642 3.9601710995 2.95664676825,9 7 25,1.8 3.5 1.38888888889
superhero,6.594379816450477,27.5,3.770833333335,7.09537949959 6.09338013331,37 18,1.54166666667 6.0
torch,4.5197080850595315,13.5,2.6111111111094445,3.48243621985 5.55697995027,10 17,3.33333333333 1.88888888889
wtf,5.5832804560674605,26.0,2.194444444444444,9.46704150041 3.3982886831 3.88451118469,35 21 22,1.75 3.0 1.83333333333
x_equals_y,5.342825301488241,19.0,1.7272727272727273,5.34282530149,19,1.72727272727
connected_rows_with_missing_blocks,8.548761900266012,33.0,3.3,8.54876190027,33,3.3
connected_triangles,11.262202525129783,41.0,4.104166666665,14.2963512341 8.22805381616,59 23,2.45833333333 5.75
double_tripod,9.62038160165151,34.0,12.172222222222222,9.434849751 11.4886480371 7.93764701684,34 32 36,2.26666666667 32.0 2.25
hollow_diseased_rectangle,15.42035026749064,32.0,3.206730769230769,8.7227741162 22.1179264188,31 33,3.875 2.53846153846
random_objects,13.155581690867741,38.5,3.198051948051948,8.56859246492 17.7425709168,31 46,2.21428571429 4.18181818182
creative-five,4.813494549194972,18.5,8.214285714285714,5.00539923112 4.62158986727,13 24,13.0 3.42857142857
random_objects_2,7.9517802158991495,24.0,8.0,7.9517802159,24,8.0
concentric_semicircles,7.193455449738956,26.0,2.041666666665,7.70775439739 6.67915650209,31 21,2.58333333333 1.5
hot,9.721535609827269,48.666666666666664,1.7972472883053878,8.01780003309 12.8428842147 8.30392258167,45 32 69,1.95652173913 2.13333333333 1.30188679245
scissors,6.355488312245047,23.0,3.51984126984127,7.13538806836 5.19044080178 6.7406360666,33 14 22,2.75 4.66666666667 3.14285714286
spectacles,10.399007576724543,63.0,1.9955396966977967,10.5876586835 10.2103564699,52 74,2.73684210526 1.25423728814
bloody-sword,7.007101867596308,22.5,12.045454545454545,5.7965324839 8.2176712513,23 22,2.09090909091 22.0
color-wheel,8.425042476256689,19.5,8.884615384615385,6.63968741894 10.2103975336,23 16,1.76923076923 16.0
eye,10.814416142304738,35.5,2.65952380952381,9.49419861635 12.1346336683,34 37,1.61904761905 3.7
letter-cube,9.024820174773534,28.0,2.1754385964912277,6.7700409174 11.2795994322,32 24,1.68421052632 2.66666666667
music-notes,6.730456255541907,21.666666666666668,2.5056022408963585,6.65857281685 4.87218466997 8.66061127981,27 21 17,1.58823529412 3.5 2.42857142857
rainbow-lasso,16.19138283332189,55.5,2.371376811594203,11.6831568321 20.6996088346,46 65,1.91666666667 2.82608695652
storm-cloud,9.910850739479065,28.333333333333332,2.262691570881226,12.4546545506 5.82301204999 11.4548856179,44 10 31,1.51724137931 3.33333333333 1.9375
umbrella,10.242475893100103,39.5,4.649193548387097,11.4337779999 9.05117378632,48 31,1.54838709677 7.75
cat,14.11143833398819,30.0,2.0,14.111438334,30,2.0
christmas-tree,24.43503418167432,54.5,2.0751633986928106,10.475861915 38.3942064484,22 87,2.44444444444 1.70588235294
chair2,6.812052818139394,13.0,1.0833333333333333,6.81205281814,13,1.08333333333
chair3,9.8989466826121,21.0,1.105263157894737,9.89894668261,21,1.10526315789
connected_diamonds_with_missing_blocks,12.359277000029882,27.0,3.03125,19.7045359333 5.01401806672,34 20,1.0625 5.0
diagonal-2,5.837053350607555,19.0,3.0476190476190474,8.63781523307 3.03629146814,23 15,1.09523809524 5.0
parallel-bars,5.933993889888128,16.0,2.5,8.31172624826 3.55626153151,16 16,1.0 4.0
connected_crosses,7.974082783857981,35.0,1.9444444444444444,7.97408278386,35,1.94444444444
funny-Ts,8.24803169965744,35.5,4.1,8.14871379932 8.3473496,45 26,3.0 5.2
question,1.98748676776886,8.0,1.0,1.98748676777,8,1.0
tetris,5.3340231100718185,22.5,22.5,4.47487960259 6.19316661755,24 21,24.0 21.0
three-squares,5.747531974315644,27.0,2.7142857142857144,6.13276863496 5.36229531368,30 24,2.0 3.42857142857
four-three,5.792212466398875,21.0,3.5,5.7922124664,21,3.5
interlocking-magnets,4.805540482203166,24.0,4.0,4.8055404822,24,4.0
rainbow-diagonal-stack,6.8992956678072614,21.0,3.5,6.89929566781,21,3.5
strange-triangles,6.975956432024637,24.0,12.0,6.97595643202,24,12.0
